LexToken(COMMENTBLOCK,'/* Block comment example\nThis is a test for the block comment token.\n*/',65,1)
LexToken(DIVIDE,'/',67,74)
LexToken(DIVIDE,'/',67,75)
LexToken(VARIABLE,'Line',67,77)
LexToken(VARIABLE,'comment',67,82)
LexToken(VARIABLE,'example',67,90)
LexToken(VOID,'void',68,98)
LexToken(MAIN,'main',68,103)
LexToken(LBRACE,'{',68,108)
LexToken(INT,'int',69,114)
LexToken(VARIABLE,'number',69,118)
LexToken(EQUALS,'=',69,125)
LexToken(NUMBER,42,69,127)
LexToken(DOTCOMMA,';',69,129)
LexToken(DOUBLE,'double',70,135)
LexToken(VARIABLE,'decimalNumber',70,142)
LexToken(EQUALS,'=',70,156)
LexToken(FLOAT,3.14,70,158)
LexToken(DOTCOMMA,';',70,162)
LexToken(BOOLEAN,'boolean',71,168)
LexToken(VARIABLE,'isValid',71,176)
LexToken(EQUALS,'=',71,184)
LexToken(TRUE,'True',71,186)
LexToken(DOTCOMMA,';',71,190)
LexToken(STRING,'String',72,196)
LexToken(VARIABLE,'CONSTANT_STRING',72,203)
LexToken(EQUALS,'=',72,219)
LexToken(CHAINCHAR,'"Hello"',72,221)
LexToken(DOTCOMMA,';',72,228)
LexToken(LIST,'List',73,234)
LexToken(LANGLE,'<',73,238)
LexToken(INT,'int',73,239)
LexToken(RANGLE,'>',73,242)
LexToken(VARIABLE,'myList',73,244)
LexToken(EQUALS,'=',73,251)
LexToken(VARIABLE,'new',73,253)
LexToken(LIST,'List',73,257)
LexToken(LANGLE,'<',73,261)
LexToken(RANGLE,'>',73,262)
LexToken(LPAREN,'(',73,263)
LexToken(RPAREN,')',73,264)
LexToken(DOTCOMMA,';',73,265)
LexToken(MAP,'map',74,271)
LexToken(LANGLE,'<',74,274)
LexToken(STRING,'String',74,275)
LexToken(COMMA,',',74,281)
LexToken(INT,'int',74,283)
LexToken(RANGLE,'>',74,286)
LexToken(VARIABLE,'myMap',74,288)
LexToken(EQUALS,'=',74,294)
LexToken(VARIABLE,'new',74,296)
LexToken(MAP,'map',74,300)
LexToken(LANGLE,'<',74,303)
LexToken(RANGLE,'>',74,304)
LexToken(LPAREN,'(',74,305)
LexToken(RPAREN,')',74,306)
LexToken(DOTCOMMA,';',74,307)
LexToken(VOID,'void',76,314)
LexToken(MAIN,'main',76,319)
LexToken(LPAREN,'(',76,323)
LexToken(RPAREN,')',76,324)
LexToken(LBRACE,'{',76,326)
LexToken(MAIN,'main',77,336)
LexToken(VARIABLE,'instance',77,341)
LexToken(EQUALS,'=',77,350)
LexToken(VARIABLE,'new',77,352)
LexToken(MAIN,'main',77,356)
LexToken(LPAREN,'(',77,360)
LexToken(RPAREN,')',77,361)
LexToken(DOTCOMMA,';',77,362)
LexToken(VARIABLE,'instance',78,372)
LexToken(DOT,'.',78,380)
LexToken(VARIABLE,'testMethod',78,381)
LexToken(LPAREN,'(',78,391)
LexToken(RPAREN,')',78,392)
LexToken(DOTCOMMA,';',78,393)
LexToken(RBRACE,'}',79,399)
LexToken(VOID,'void',81,406)
LexToken(VARIABLE,'testMethod',81,411)
LexToken(LPAREN,'(',81,421)
LexToken(RPAREN,')',81,422)
LexToken(LBRACE,'{',81,424)
LexToken(INT,'int',82,434)
LexToken(VARIABLE,'localVar',82,438)
LexToken(EQUALS,'=',82,447)
LexToken(NUMBER,10,82,449)
LexToken(DOTCOMMA,';',82,451)
LexToken(DOUBLE,'double',83,461)
LexToken(VARIABLE,'pi',83,468)
LexToken(EQUALS,'=',83,471)
LexToken(FLOAT,3.14,83,473)
LexToken(DOTCOMMA,';',83,477)
LexToken(BOOLEAN,'boolean',84,487)
LexToken(VARIABLE,'flag',84,495)
LexToken(EQUALS,'=',84,500)
LexToken(FALSE,'False',84,502)
LexToken(DOTCOMMA,';',84,507)
LexToken(STRING,'String',85,517)
LexToken(VARIABLE,'greeting',85,524)
LexToken(EQUALS,'=',85,533)
LexToken(CHAINCHAR,'"Hello, World!"',85,535)
LexToken(DOTCOMMA,';',85,550)
LexToken(STRING,'String',86,560)
LexToken(VARIABLE,'initial',86,567)
LexToken(EQUALS,'=',86,575)
LexToken(CHAINCHAR,'"A"',86,577)
LexToken(DOTCOMMA,';',86,580)
LexToken(IF,'if',88,599)
LexToken(LPAREN,'(',88,602)
LexToken(VARIABLE,'localVar',88,603)
LexToken(RANGLE,'>',88,612)
LexToken(NUMBER,5,88,614)
LexToken(AND,'&&',88,616)
LexToken(VARIABLE,'flag',88,619)
LexToken(EQUALS,'=',88,624)
LexToken(EQUALS,'=',88,625)
LexToken(FALSE,'False',88,627)
LexToken(RPAREN,')',88,632)
LexToken(LBRACE,'{',88,634)
LexToken(PRINT,'print',89,648)
LexToken(LPAREN,'(',89,653)
LexToken(CHAINCHAR,'"localVar is greater than 5"',89,654)
LexToken(RPAREN,')',89,682)
LexToken(DOTCOMMA,';',89,683)
LexToken(RBRACE,'}',90,693)
LexToken(ELSE,'else',90,695)
LexToken(LBRACE,'{',90,700)
LexToken(PRINT,'print',91,714)
LexToken(LPAREN,'(',91,719)
LexToken(CHAINCHAR,'"localVar is less than or equal to 5"',91,720)
LexToken(RPAREN,')',91,757)
LexToken(DOTCOMMA,';',91,758)
LexToken(RBRACE,'}',92,768)
LexToken(FOR,'for',94,779)
LexToken(LPAREN,'(',94,783)
LexToken(INT,'int',94,784)
LexToken(VARIABLE,'i',94,788)
LexToken(EQUALS,'=',94,790)
LexToken(NUMBER,0,94,792)
LexToken(DOTCOMMA,';',94,793)
LexToken(VARIABLE,'i',94,795)
LexToken(LANGLE,'<',94,797)
LexToken(NUMBER,10,94,799)
LexToken(DOTCOMMA,';',94,801)
LexToken(VARIABLE,'i',94,803)
LexToken(PLUS,'+',94,804)
LexToken(PLUS,'+',94,805)
LexToken(RPAREN,')',94,806)
LexToken(LBRACE,'{',94,808)
LexToken(VARIABLE,'myList',95,822)
LexToken(DOT,'.',95,828)
LexToken(VARIABLE,'add',95,829)
LexToken(LPAREN,'(',95,832)
LexToken(VARIABLE,'i',95,833)
LexToken(RPAREN,')',95,834)
LexToken(DOTCOMMA,';',95,835)
LexToken(RBRACE,'}',96,845)
LexToken(VARIABLE,'while',98,856)
LexToken(LPAREN,'(',98,862)
LexToken(VARIABLE,'localVar',98,863)
LexToken(RANGLE,'>',98,872)
LexToken(NUMBER,0,98,874)
LexToken(RPAREN,')',98,875)
LexToken(LBRACE,'{',98,877)
LexToken(VARIABLE,'localVar',99,891)
LexToken(MINUS,'-',99,899)
LexToken(MINUS,'-',99,900)
LexToken(DOTCOMMA,';',99,901)
LexToken(RBRACE,'}',100,911)
LexToken(SWITCH,'switch',102,922)
LexToken(LPAREN,'(',102,929)
LexToken(VARIABLE,'localVar',102,930)
LexToken(RPAREN,')',102,938)
LexToken(LBRACE,'{',102,940)
LexToken(CASE,'case',103,954)
LexToken(NUMBER,0,103,959)
LexToken(TWODOTS,':',103,960)
LexToken(PRINT,'print',104,978)
LexToken(LPAREN,'(',104,983)
LexToken(CHAINCHAR,'"localVar is zero"',104,984)
LexToken(RPAREN,')',104,1002)
LexToken(DOTCOMMA,';',104,1003)
LexToken(BREAK,'break',105,1021)
LexToken(DOTCOMMA,';',105,1026)
LexToken(VARIABLE,'default',106,1040)
LexToken(TWODOTS,':',106,1047)
LexToken(PRINT,'print',107,1065)
LexToken(LPAREN,'(',107,1070)
LexToken(CHAINCHAR,'"localVar is not zero"',107,1071)
LexToken(RPAREN,')',107,1093)
