LexToken(VOID,'void',103,1)
LexToken(MAIN,'main',103,6)
LexToken(LPAREN,'(',103,10)
LexToken(RPAREN,')',103,11)
LexToken(LBRACE,'{',103,13)
LexToken(INT,'int',104,17)
LexToken(VARIABLE,'num1',104,21)
LexToken(EQUALS,'=',104,26)
LexToken(NUMBER,10,104,28)
LexToken(DOTCOMMA,';',104,30)
LexToken(INT,'int',105,34)
LexToken(VARIABLE,'num2',105,38)
LexToken(EQUALS,'=',105,43)
LexToken(NUMBER,5,105,45)
LexToken(DOTCOMMA,';',105,46)
LexToken(COMMENTLINE,'// Operación de suma',107,51)
LexToken(INT,'int',108,74)
LexToken(VARIABLE,'resultadoSuma',108,78)
LexToken(EQUALS,'=',108,92)
LexToken(DOLLAR,'$',108,94)
LexToken(VARIABLE,'num1',108,95)
LexToken(PLUS,'+',108,100)
LexToken(DOLLAR,'$',108,102)
LexToken(VARIABLE,'num2',108,103)
LexToken(DOTCOMMA,';',108,107)
LexToken(COMMENTLINE,'// Operación de resta',110,114)
LexToken(INT,'int',111,138)
LexToken(VARIABLE,'resultadoResta',111,142)
LexToken(EQUALS,'=',111,157)
LexToken(DOLLAR,'$',111,159)
LexToken(VARIABLE,'num1',111,160)
LexToken(MINUS,'-',111,165)
LexToken(DOLLAR,'$',111,167)
LexToken(VARIABLE,'num2',111,168)
LexToken(DOTCOMMA,';',111,172)
LexToken(COMMENTLINE,'// Verificación del resultado de la suma',113,177)
LexToken(IF,'if',114,220)
LexToken(LPAREN,'(',114,223)
LexToken(DOLLAR,'$',114,224)
LexToken(VARIABLE,'resultadoSuma',114,225)
LexToken(RANGLE,'>',114,239)
LexToken(NUMBER,0,114,241)
LexToken(RPAREN,')',114,242)
LexToken(LBRACE,'{',114,244)
LexToken(PRINT,'print',115,250)
LexToken(LPAREN,'(',115,255)
LexToken(CHAINCHAR,'"La suma de $num1 y $num2 es positiva: $resultadoSuma"',115,256)
LexToken(RPAREN,')',115,310)
LexToken(DOTCOMMA,';',115,311)
LexToken(RBRACE,'}',116,315)
LexToken(ELSE,'else',116,317)
LexToken(IF,'if',116,322)
LexToken(LPAREN,'(',116,325)
LexToken(DOLLAR,'$',116,326)
LexToken(VARIABLE,'resultadoSuma',116,327)
LexToken(LANGLE,'<',116,341)
LexToken(NUMBER,0,116,343)
LexToken(RPAREN,')',116,344)
LexToken(LBRACE,'{',116,346)
LexToken(PRINT,'print',117,352)
LexToken(LPAREN,'(',117,357)
LexToken(CHAINCHAR,'"La suma de $num1 y $num2 es negativa: $resultadoSuma"',117,358)
LexToken(RPAREN,')',117,412)
LexToken(DOTCOMMA,';',117,413)
LexToken(RBRACE,'}',118,417)
LexToken(ELSE,'else',118,419)
LexToken(LBRACE,'{',118,424)
LexToken(PRINT,'print',119,430)
LexToken(LPAREN,'(',119,435)
LexToken(CHAINCHAR,'"La suma de $num1 y $num2 es cero."',119,436)
LexToken(RPAREN,')',119,471)
LexToken(DOTCOMMA,';',119,472)
LexToken(RBRACE,'}',120,476)
LexToken(COMMENTLINE,'// Verificación del resultado de la resta',122,481)
LexToken(IF,'if',123,525)
LexToken(LPAREN,'(',123,528)
LexToken(DOLLAR,'$',123,529)
LexToken(VARIABLE,'resultadoResta',123,530)
LexToken(RANGLE,'>',123,545)
LexToken(NUMBER,0,123,547)
LexToken(RPAREN,')',123,548)
LexToken(LBRACE,'{',123,550)
LexToken(PRINT,'print',124,556)
LexToken(LPAREN,'(',124,561)
LexToken(CHAINCHAR,'"La resta de $num1 y $num2 es positiva: $resultadoResta"',124,562)
LexToken(RPAREN,')',124,618)
LexToken(DOTCOMMA,';',124,619)
LexToken(RBRACE,'}',125,623)
LexToken(ELSE,'else',125,625)
LexToken(IF,'if',125,630)
LexToken(LPAREN,'(',125,633)
LexToken(DOLLAR,'$',125,634)
LexToken(VARIABLE,'resultadoResta',125,635)
LexToken(LANGLE,'<',125,650)
LexToken(NUMBER,0,125,652)
LexToken(RPAREN,')',125,653)
LexToken(LBRACE,'{',125,655)
LexToken(PRINT,'print',126,661)
LexToken(LPAREN,'(',126,666)
LexToken(CHAINCHAR,'"La resta de $num1 y $num2 es negativa: $resultadoResta"',126,667)
LexToken(RPAREN,')',126,723)
LexToken(DOTCOMMA,';',126,724)
LexToken(RBRACE,'}',127,728)
LexToken(ELSE,'else',127,730)
LexToken(LBRACE,'{',127,735)
LexToken(PRINT,'print',128,741)
LexToken(LPAREN,'(',128,746)
LexToken(CHAINCHAR,'"La resta de $num1 y $num2 es cero."',128,747)
LexToken(RPAREN,')',128,783)
LexToken(DOTCOMMA,';',128,784)
LexToken(RBRACE,'}',129,788)
LexToken(RBRACE,'}',130,790)
