LexToken(commentBlock,'/* Block comment example\nThis is a test for the block comment token.\n*/',65,1)
LexToken(commentLine,'// Line comment example',67,74)
LexToken(PUBLIC,'public',68,98)
LexToken(CLASS,'class',68,105)
LexToken(NEWDATATYPE,'TestClass',68,111)
LexToken(LBRACE,'{',68,121)
LexToken(PRIVATE,'private',69,127)
LexToken(INT,'int',69,135)
LexToken(VARIABLE,'number',69,139)
LexToken(EQUALS,'=',69,146)
LexToken(NUMBER,42,69,148)
LexToken(DOTCOMMA,';',69,150)
LexToken(PUBLIC,'public',70,156)
LexToken(DOUBLE,'double',70,163)
LexToken(VARIABLE,'decimalNumber',70,170)
LexToken(EQUALS,'=',70,184)
LexToken(FLOAT,3.14,70,186)
LexToken(DOTCOMMA,';',70,190)
LexToken(PROTECTED,'protected',71,196)
LexToken(VARIABLE,'isValid',71,206)
LexToken(EQUALS,'=',71,214)
LexToken(TRUE,'True',71,216)
LexToken(DOTCOMMA,';',71,220)
LexToken(STATIC,'static',72,226)
LexToken(FINAL,'final',72,233)
LexToken(STRING,'String',72,239)
LexToken(NEWDATATYPE,'CONSTANT_STRING',72,246)
LexToken(EQUALS,'=',72,262)
LexToken(CHAINCHAR,'"Hello"',72,264)
LexToken(DOTCOMMA,';',72,271)
LexToken(PRIVATE,'private',73,277)
LexToken(LIST,'List',73,285)
LexToken(INTERNDATATYPE,'<Integer>',73,289)
LexToken(VARIABLE,'myList',73,299)
LexToken(EQUALS,'=',73,306)
LexToken(NEW,'new',73,308)
LexToken(NEWDATATYPE,'ArrayList',73,312)
LexToken(LANGLE,'<',73,321)
LexToken(RANGLE,'>',73,322)
LexToken(LPAREN,'(',73,323)
LexToken(RPAREN,')',73,324)
LexToken(DOTCOMMA,';',73,325)
LexToken(PRIVATE,'private',74,331)
LexToken(NEWDATATYPE,'Map',74,339)
LexToken(LANGLE,'<',74,342)
LexToken(STRING,'String',74,343)
LexToken(COMMA,',',74,349)
LexToken(NEWDATATYPE,'Integer',74,351)
LexToken(RANGLE,'>',74,358)
LexToken(VARIABLE,'myMap',74,360)
LexToken(EQUALS,'=',74,366)
LexToken(NEW,'new',74,368)
LexToken(NEWDATATYPE,'HashMap',74,372)
LexToken(LANGLE,'<',74,379)
LexToken(RANGLE,'>',74,380)
LexToken(LPAREN,'(',74,381)
LexToken(RPAREN,')',74,382)
LexToken(DOTCOMMA,';',74,383)
LexToken(PUBLIC,'public',76,390)
LexToken(STATIC,'static',76,397)
LexToken(VOID,'void',76,404)
LexToken(MAIN,'main',76,409)
LexToken(LPAREN,'(',76,413)
LexToken(STRING,'String',76,414)
LexToken(LBRACKET,'[',76,420)
LexToken(RBRACKET,']',76,421)
LexToken(VARIABLE,'args',76,423)
LexToken(RPAREN,')',76,427)
LexToken(LBRACE,'{',76,429)
LexToken(NEWDATATYPE,'TestClass',77,439)
LexToken(VARIABLE,'instance',77,449)
LexToken(EQUALS,'=',77,458)
LexToken(NEW,'new',77,460)
LexToken(NEWDATATYPE,'TestClass',77,464)
LexToken(LPAREN,'(',77,473)
LexToken(RPAREN,')',77,474)
LexToken(DOTCOMMA,';',77,475)
LexToken(VARIABLE,'instance',78,485)
LexToken(FUNCTION,'.testMethod()',78,493)
LexToken(DOTCOMMA,';',78,506)
LexToken(RBRACE,'}',79,512)
LexToken(PUBLIC,'public',81,519)
LexToken(VOID,'void',81,526)
LexToken(FUNCTION,'testMethod()',81,531)
LexToken(LBRACE,'{',81,544)
LexToken(INT,'int',82,554)
LexToken(VARIABLE,'localVar',82,558)
LexToken(EQUALS,'=',82,567)
LexToken(NUMBER,10,82,569)
LexToken(DOTCOMMA,';',82,571)
LexToken(DOUBLE,'double',83,581)
LexToken(VARIABLE,'pi',83,588)
LexToken(EQUALS,'=',83,591)
LexToken(FLOAT,3.14,83,593)
LexToken(DOTCOMMA,';',83,597)
LexToken(VARIABLE,'eanean',84,607)
LexToken(VARIABLE,'flag',84,614)
LexToken(EQUALS,'=',84,619)
LexToken(FALSE,'False',84,621)
LexToken(DOTCOMMA,';',84,626)
LexToken(STRING,'String',85,636)
LexToken(VARIABLE,'greeting',85,643)
LexToken(EQUALS,'=',85,652)
LexToken(CHAINCHAR,'"Hello, World!"',85,654)
LexToken(DOTCOMMA,';',85,669)
LexToken(VARIABLE,'char',86,679)
LexToken(VARIABLE,'initial',86,684)
LexToken(EQUALS,'=',86,692)
LexToken(CHAINCHAR,"'A'",86,694)
LexToken(DOTCOMMA,';',86,697)
LexToken(IF,'if',88,716)
LexToken(LPAREN,'(',88,719)
LexToken(VARIABLE,'localVar',88,720)
LexToken(RANGLE,'>',88,729)
LexToken(NUMBER,5,88,731)
LexToken(AND,'&&',88,733)
LexToken(VARIABLE,'flag',88,736)
LexToken(EQUALS,'=',88,741)
LexToken(EQUALS,'=',88,742)
LexToken(FALSE,'False',88,744)
LexToken(RPAREN,')',88,749)
LexToken(LBRACE,'{',88,751)
LexToken(PRINT,'print',89,765)
LexToken(LPAREN,'(',89,770)
LexToken(CHAINCHAR,'"localVar is greater than 5"',89,771)
LexToken(RPAREN,')',89,799)
LexToken(DOTCOMMA,';',89,800)
LexToken(RBRACE,'}',90,810)
LexToken(ELSE,'else',90,812)
LexToken(LBRACE,'{',90,817)
LexToken(PRINT,'print',91,831)
LexToken(LPAREN,'(',91,836)
LexToken(CHAINCHAR,'"localVar is less than or equal to 5"',91,837)
LexToken(RPAREN,')',91,874)
LexToken(DOTCOMMA,';',91,875)
LexToken(RBRACE,'}',92,885)
LexToken(FOR,'for',94,896)
LexToken(LPAREN,'(',94,900)
LexToken(INT,'int',94,901)
LexToken(VARIABLE,'i',94,905)
LexToken(EQUALS,'=',94,907)
LexToken(NUMBER,0,94,909)
LexToken(DOTCOMMA,';',94,910)
LexToken(VARIABLE,'i',94,912)
LexToken(LANGLE,'<',94,914)
LexToken(NUMBER,10,94,916)
LexToken(DOTCOMMA,';',94,918)
LexToken(VARIABLE,'i',94,920)
LexToken(PLUS,'+',94,921)
LexToken(PLUS,'+',94,922)
LexToken(RPAREN,')',94,923)
LexToken(LBRACE,'{',94,925)
LexToken(VARIABLE,'myList',95,939)
LexToken(FUNCTION,'.add(i)',95,945)
LexToken(DOTCOMMA,';',95,952)
LexToken(RBRACE,'}',96,962)
LexToken(WHILE,'while',98,973)
LexToken(LPAREN,'(',98,979)
LexToken(VARIABLE,'localVar',98,980)
LexToken(RANGLE,'>',98,989)
LexToken(NUMBER,0,98,991)
LexToken(RPAREN,')',98,992)
LexToken(LBRACE,'{',98,994)
LexToken(VARIABLE,'localVar',99,1008)
LexToken(MINUS,'-',99,1016)
LexToken(MINUS,'-',99,1017)
LexToken(DOTCOMMA,';',99,1018)
LexToken(RBRACE,'}',100,1028)
LexToken(SWITCH,'switch',102,1039)
LexToken(LPAREN,'(',102,1046)
LexToken(VARIABLE,'localVar',102,1047)
LexToken(RPAREN,')',102,1055)
LexToken(LBRACE,'{',102,1057)
LexToken(CASE,'case',103,1071)
LexToken(NUMBER,0,103,1076)
LexToken(TWODOTS,':',103,1077)
LexToken(PRINT,'print',104,1095)
LexToken(LPAREN,'(',104,1100)
LexToken(CHAINCHAR,'"localVar is zero"',104,1101)
LexToken(RPAREN,')',104,1119)
LexToken(DOTCOMMA,';',104,1120)
LexToken(BREAK,'break',105,1138)
LexToken(DOTCOMMA,';',105,1143)
LexToken(DEFAULT,'default',106,1157)
LexToken(TWODOTS,':',106,1164)
LexToken(PRINT,'print',107,1182)
LexToken(LPAREN,'(',107,1187)
LexToken(CHAINCHAR,'"localVar is not zero"',107,1188)
LexToken(RPAREN,')',107,1210)
LexToken(DOTCOMMA,';',107,1211)
LexToken(BREAK,'break',108,1229)
LexToken(DOTCOMMA,';',108,1234)
LexToken(RBRACE,'}',109,1244)
LexToken(TRY,'try',111,1255)
LexToken(LBRACE,'{',111,1259)
LexToken(INT,'int',112,1273)
LexToken(VARIABLE,'result',112,1277)
LexToken(EQUALS,'=',112,1284)
LexToken(VARIABLE,'localVar',112,1286)
LexToken(DIVIDE,'/',112,1295)
LexToken(NUMBER,0,112,1297)
LexToken(DOTCOMMA,';',112,1298)
LexToken(RBRACE,'}',113,1308)
LexToken(CATCH,'catch',113,1310)
LexToken(LPAREN,'(',113,1316)
